Atributo 1,Atributo 2,Atributo 3,Atributo 4
325.635,223.475,89.39,12.770000000000001
312.865,191.55,89.39,12.770000000000001
300.095,204.32000000000002,83.00500000000001,12.770000000000001
293.71,197.935,95.775,12.770000000000001
319.25,229.86,89.39,12.770000000000001
344.79,249.015,108.545,25.540000000000003
293.71,217.09,89.39,19.155
319.25,217.09,95.775,12.770000000000001
280.94000000000005,185.165,89.39,12.770000000000001
312.865,197.935,95.775,6.385000000000001
344.79,236.245,95.775,12.770000000000001
306.48,217.09,102.16000000000001,12.770000000000001
306.48,191.55,89.39,6.385000000000001
274.555,191.55,70.23500000000001,6.385000000000001
370.33,255.4,76.62,12.770000000000001
363.945,280.94000000000005,95.775,25.540000000000003
344.79,249.015,83.00500000000001,25.540000000000003
325.635,223.475,89.39,19.155
363.945,242.63,108.545,19.155
325.635,242.63,95.775,19.155
344.79,217.09,108.545,12.770000000000001
325.635,236.245,95.775,25.540000000000003
293.71,229.86,63.85,12.770000000000001
325.635,210.70499999999998,108.545,31.925
306.48,217.09,121.315,12.770000000000001
319.25,191.55,102.16000000000001,12.770000000000001
319.25,217.09,102.16000000000001,25.540000000000003
332.02000000000004,223.475,95.775,12.770000000000001
332.02000000000004,217.09,89.39,12.770000000000001
300.095,204.32000000000002,102.16000000000001,12.770000000000001
306.48,197.935,102.16000000000001,12.770000000000001
344.79,217.09,95.775,25.540000000000003
332.02000000000004,261.78499999999997,95.775,6.385000000000001
351.175,268.17,89.39,12.770000000000001
312.865,197.935,95.775,12.770000000000001
319.25,204.32000000000002,76.62,12.770000000000001
351.175,223.475,83.00500000000001,12.770000000000001
312.865,229.86,89.39,6.385000000000001
280.94000000000005,191.55,83.00500000000001,12.770000000000001
325.635,217.09,95.775,12.770000000000001
319.25,223.475,83.00500000000001,19.155
287.325,146.855,83.00500000000001,19.155
280.94000000000005,204.32000000000002,83.00500000000001,12.770000000000001
319.25,223.475,102.16000000000001,38.31
325.635,242.63,121.315,25.540000000000003
306.48,191.55,89.39,19.155
325.635,242.63,102.16000000000001,12.770000000000001
293.71,204.32000000000002,89.39,12.770000000000001
338.405,236.245,95.775,12.770000000000001
319.25,210.70499999999998,89.39,12.770000000000001
446.95,204.32000000000002,300.095,89.39
408.64000000000004,204.32000000000002,287.325,95.775
440.56500000000005,197.935,312.865,95.775
351.175,146.855,255.4,83.00500000000001
415.02500000000003,178.78,293.71,95.775
363.945,178.78,287.325,83.00500000000001
402.255,210.70499999999998,300.095,102.16000000000001
312.865,153.24,210.70499999999998,63.85
421.40999999999997,185.165,293.71,83.00500000000001
332.02000000000004,172.395,249.015,89.39
319.25,127.7,223.475,63.85
376.71500000000003,191.55,268.17,95.775
383.1,140.47000000000003,255.4,63.85
389.485,185.165,300.095,89.39
357.56,185.165,229.86,83.00500000000001
427.795,197.935,280.94000000000005,89.39
357.56,191.55,287.325,95.775
370.33,172.395,261.78499999999997,63.85
395.87,140.47000000000003,287.325,95.775
357.56,159.625,249.015,70.23500000000001
376.71500000000003,204.32000000000002,306.48,114.93
389.485,178.78,255.4,83.00500000000001
402.255,159.625,312.865,95.775
389.485,178.78,300.095,76.62
408.64000000000004,185.165,274.555,83.00500000000001
421.40999999999997,191.55,280.94000000000005,89.39
434.18,178.78,306.48,89.39
427.795,191.55,319.25,108.545
383.1,185.165,287.325,95.775
363.945,166.01000000000002,223.475,63.85
351.175,153.24,242.63,70.23500000000001
351.175,153.24,236.245,63.85
370.33,172.395,249.015,76.62
383.1,172.395,325.635,102.16000000000001
344.79,191.55,287.325,95.775
383.1,217.09,287.325,102.16000000000001
427.795,197.935,300.095,95.775
402.255,146.855,280.94000000000005,83.00500000000001
357.56,191.55,261.78499999999997,83.00500000000001
351.175,159.625,255.4,83.00500000000001
351.175,166.01000000000002,280.94000000000005,76.62
389.485,191.55,293.71,89.39
370.33,166.01000000000002,255.4,76.62
319.25,146.855,210.70499999999998,63.85
357.56,172.395,268.17,83.00500000000001
363.945,191.55,268.17,76.62
363.945,185.165,268.17,83.00500000000001
395.87,185.165,274.555,83.00500000000001
325.635,159.625,191.55,70.23500000000001
363.945,178.78,261.78499999999997,83.00500000000001
402.255,210.70499999999998,383.1,159.625
370.33,172.395,325.635,121.315
453.335,191.55,376.71500000000003,134.085
402.255,185.165,357.56,114.93
415.02500000000003,191.55,370.33,140.47000000000003
485.26,191.55,421.40999999999997,134.085
312.865,159.625,287.325,108.545
466.105,185.165,402.255,114.93
427.795,159.625,370.33,114.93
459.72,229.86,389.485,159.625
415.02500000000003,204.32000000000002,325.635,127.7
408.64000000000004,172.395,338.405,121.315
434.18,191.55,351.175,134.085
363.945,159.625,319.25,127.7
370.33,178.78,325.635,153.24
408.64000000000004,204.32000000000002,338.405,146.855
415.02500000000003,191.55,351.175,114.93
491.64500000000004,242.63,427.795,140.47000000000003
491.64500000000004,166.01000000000002,440.56500000000005,146.855
383.1,140.47000000000003,319.25,95.775
440.56500000000005,204.32000000000002,363.945,146.855
357.56,178.78,312.865,127.7
491.64500000000004,178.78,427.795,127.7
402.255,172.395,312.865,114.93
427.795,210.70499999999998,363.945,134.085
459.72,204.32000000000002,383.1,114.93
395.87,178.78,306.48,114.93
389.485,191.55,312.865,114.93
408.64000000000004,178.78,357.56,134.085
459.72,191.55,370.33,102.16000000000001
472.49,178.78,389.485,121.315
504.415,242.63,408.64000000000004,127.7
408.64000000000004,178.78,357.56,140.47000000000003
402.255,178.78,325.635,95.775
389.485,166.01000000000002,357.56,89.39
491.64500000000004,191.55,389.485,146.855
402.255,217.09,357.56,153.24
408.64000000000004,197.935,351.175,114.93
383.1,191.55,306.48,114.93
440.56500000000005,197.935,344.79,134.085
427.795,197.935,357.56,153.24
440.56500000000005,197.935,325.635,146.855
370.33,172.395,325.635,121.315
434.18,204.32000000000002,376.71500000000003,146.855
427.795,210.70499999999998,363.945,159.625
427.795,191.55,332.02000000000004,146.855
402.255,159.625,319.25,121.315
415.02500000000003,191.55,332.02000000000004,127.7
395.87,217.09,344.79,146.855
376.71500000000003,191.55,325.635,114.93
